"V1","V2","freq"
"3 Buck Theater","alteori",259
"3 Buck Theater","Andy Warski",324
"3 Buck Theater","Baked Alaska",10
"3 Buck Theater","BanditIncorporated",238
"3 Buck Theater","Bastion of Kuul",227
"3 Buck Theater","Ben Shapiro",141
"3 Buck Theater","Black Pigeon Speaks",193
"3 Buck Theater","Blaire White",44
"3 Buck Theater","Blonde in the Belly of the Beast",76
"3 Buck Theater","Bre Faucheux",33
"3 Buck Theater","Brittany Pettibone",95
"3 Buck Theater","Bulldog Mindset",45
"3 Buck Theater","Bunty King",56
"3 Buck Theater","Caolan Robertson",2
"3 Buck Theater","Chris Ray Gun",45
"3 Buck Theater","Clownfish TV",564
"3 Buck Theater","Coach Red Pill",139
"3 Buck Theater","ComicArtistPro Secrets",1078
"3 Buck Theater","Computing Forever",402
"3 Buck Theater","Dave Rubin",214
"3 Buck Theater","David Cullen",221
"3 Buck Theater","Declan Black",195
"3 Buck Theater","Dennis Prager",151
"3 Buck Theater","Destiny",104
"3 Buck Theater","Faith Goldy",52
"3 Buck Theater","Gamers + Geeks",1316
"3 Buck Theater","Gavin McInness",91
"3 Buck Theater","James Allsup",201
"3 Buck Theater","Jeff Holiday",126
"3 Buck Theater","JF Gariepy",109
"3 Buck Theater","Joe Rogan",119
"3 Buck Theater","John Talks",965
"3 Buck Theater","Jordan Peterson",116
"3 Buck Theater","Kraut and Tea",56
"3 Buck Theater","Lauren Southern",90
"3 Buck Theater","Mark Collett",113
"3 Buck Theater","MechaRandom42",667
"3 Buck Theater","midnights edge",735
"3 Buck Theater","Mike Cernovich",73
"3 Buck Theater","Millennial Woes",65
"3 Buck Theater","Milo Yiannopoulos",238
"3 Buck Theater","Mister Metokur",99
"3 Buck Theater","Mouthy Buddha",72
"3 Buck Theater","Mundane Matt",1037
"3 Buck Theater","mundanematt",1037
"3 Buck Theater","Nicholas Fuentes",57
"3 Buck Theater","No Bullshit",495
"3 Buck Theater","Odin's Movie Blog",783
"3 Buck Theater","Owen Benjamin",159
"3 Buck Theater","Paul Joseph Watson",142
"3 Buck Theater","pocketsofthefuture",136
"3 Buck Theater","PSA Snitch",101
"3 Buck Theater","Red Ice TV",152
"3 Buck Theater","Roaming Millenial",181
"3 Buck Theater","Robert Storms",509
"3 Buck Theater","Robot Head",30
"3 Buck Theater","Salty Cracker",42
"3 Buck Theater","Sargon of Akkad",242
"3 Buck Theater","SC Review",969
"3 Buck Theater","Sinatra_Says",226
"3 Buck Theater","Some Black Guy",219
"3 Buck Theater","Star Wars Girl",365
"3 Buck Theater","Stefan Molyneaux",177
"3 Buck Theater","Steven Crowder",178
"3 Buck Theater","Styxhexenhammer666",324
"3 Buck Theater","Super Nerd Video",138
"3 Buck Theater","Tara McCarthy",14
"3 Buck Theater","That Guy T",39
"3 Buck Theater","The Amazing Lucas",386
"3 Buck Theater","TheQuartering",667
"3 Buck Theater","Tim Pool",470
"3 Buck Theater","Timcast",563
"3 Buck Theater","Tommy Robinson",64
"3 Buck Theater","Tree of Logic",98
"3 Buck Theater","Vee",269
"3 Buck Theater","Vito",80
"3 Buck Theater","Weaponized Nerd Rage",503
"3 Buck Theater","Wife With a Purpose",23
"3 Buck Theater","worldclassbullshitters",865
"3 Buck Theater","YellowFlash2",405
"alteori","3 Buck Theater",297
"alteori","Andy Warski",158
"alteori","Baked Alaska",12
"alteori","BanditIncorporated",130
"alteori","Bastion of Kuul",66
"alteori","Ben Shapiro",107
"alteori","Black Pigeon Speaks",144
"alteori","Blaire White",46
"alteori","Blonde in the Belly of the Beast",54
"alteori","Bre Faucheux",27
"alteori","Brittany Pettibone",67
"alteori","Bulldog Mindset",29
"alteori","Bunty King",26
"alteori","Caolan Robertson",1
"alteori","Chris Ray Gun",40
"alteori","Clownfish TV",260
"alteori","Coach Red Pill",93
"alteori","ComicArtistPro Secrets",328
"alteori","Computing Forever",222
"alteori","Dave Rubin",127
"alteori","David Cullen",121
"alteori","Declan Black",76
"alteori","Dennis Prager",151
"alteori","Destiny",81
"alteori","Faith Goldy",42
"alteori","Gamers + Geeks",382
"alteori","Gavin McInness",60
"alteori","James Allsup",155
"alteori","Jeff Holiday",70
"alteori","JF Gariepy",66
"alteori","Joe Rogan",100
"alteori","John Talks",243
"alteori","Jordan Peterson",63
"alteori","Kraut and Tea",27
"alteori","Lauren Southern",62
"alteori","Mark Collett",84
"alteori","MechaRandom42",297
"alteori","midnights edge",180
"alteori","Mike Cernovich",51
"alteori","Millennial Woes",39
"alteori","Milo Yiannopoulos",146
"alteori","Mister Metokur",72
"alteori","Mouthy Buddha",41
"alteori","Mundane Matt",237
"alteori","mundanematt",237
"alteori","Nicholas Fuentes",37
"alteori","No Bullshit",327
"alteori","Odin's Movie Blog",236
"alteori","Owen Benjamin",77
"alteori","Paul Joseph Watson",122
"alteori","pocketsofthefuture",85
"alteori","PSA Snitch",64
"alteori","Red Ice TV",91
"alteori","Roaming Millenial",123
"alteori","Robert Storms",178
"alteori","Robot Head",26
"alteori","Salty Cracker",24
"alteori","Sargon of Akkad",140
"alteori","SC Review",347
"alteori","Sinatra_Says",150
"alteori","Some Black Guy",128
"alteori","Star Wars Girl",131
"alteori","Stefan Molyneaux",104
"alteori","Steven Crowder",149
"alteori","Styxhexenhammer666",179
"alteori","Super Nerd Video",32
"alteori","Tara McCarthy",5
"alteori","That Guy T",21
"alteori","The Amazing Lucas",195
"alteori","TheQuartering",322
"alteori","Tim Pool",241
"alteori","Timcast",274
"alteori","Tommy Robinson",56
"alteori","Tree of Logic",58
"alteori","Vee",116
"alteori","Vito",55
"alteori","Weaponized Nerd Rage",204
"alteori","Wife With a Purpose",20
"alteori","worldclassbullshitters",242
"alteori","YellowFlash2",202
"Andy Warski","3 Buck Theater",395
"Andy Warski","alteori",194
"Andy Warski","Baked Alaska",140
"Andy Warski","BanditIncorporated",93
"Andy Warski","Bastion of Kuul",53
"Andy Warski","Ben Shapiro",382
"Andy Warski","Black Pigeon Speaks",512
"Andy Warski","Blaire White",175
"Andy Warski","Blonde in the Belly of the Beast",289
