"video_id","publishedAt","channelId","title","description","Name","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"_FbLntSnQl0",2019-02-16,"UCmKtlNiv6ht63DpTJN4B88g","The Woke History of Captain Marvel and the Media&#39;s Protection","Let's dive into the history of the comic book character Carol Danvers and why it helps to explain why she is so protected and promoted by the woke liberal ...","Odin's Movie Blog",10015,671,20,0,252
"_NV3Evk78lI",2019-02-12,"UCMvVQIAfsGwzrfPLxiaIG8g","Marvel Goes Full Identity Politics With Captain Marvel Marketing","MERCH - https://crypto.fashion/products/geeks-gamers-official-logo-tee WEBSITE - https://www.geeksandgamers.com TWITCH - twitch.tv/gamingwithgeeks ...","Gamers + Geeks",67052,5071,264,0,2435
"0Gco2scEyPo",2019-02-21,"UCMvVQIAfsGwzrfPLxiaIG8g","We Fear Captain Marvel - According To SJWs","MERCH - https://www.geeksandgamers.com/store/ WEBSITE - https://www.geeksandgamers.com TWITCH - twitch.tv/gamingwithgeeks SUBSCRIBE to our ...","Gamers + Geeks",36532,3401,92,0,1538
"0YH4-PIemxM",2019-02-23,"UC4gD0czpXVv_LpADTSU624g","Captain Marvel Will BLAME MEN for Failure! BRIE LARSON a PR Trainwreck?!","If Captain Marvel fails, will ""toxic"" men be blamed? Brie Larson has made some controversial statements regarding ""privileged white men"" which she felt the ...","Clownfish TV",36628,2130,70,0,1352
"1P6AyjvzU7Q",2019-02-19,"UCMvVQIAfsGwzrfPLxiaIG8g","Captain Marvel Excuses Begin - The Misogynist Alt-right Troll Narrative Is Underway","MERCH - https://www.geeksandgamers.com/store/ WEBSITE - https://www.geeksandgamers.com TWITCH - twitch.tv/gamingwithgeeks SUBSCRIBE to our ...","Gamers + Geeks",88596,7713,219,0,2586
"2rPRWR6TTjY",2019-02-15,"UCjYIwOnxkACYwhNGBWnEOzw","Captain Marvel&#39;s&#39; Brie Larson Isn&#39;t A Hero For &quot;Womankind&quot; (WE NEED TO TALK)","Support The Channel: ✅▻https://www.Patreon.com/DeclanBlack Support Me Via Paypal: ✅▻https://www.Paypal.me/DeclanBlackYT Follow Me On Twitch: ...","Declan Black",2682,270,6,0,91
"2tXTcsBedmI",2019-02-12,"UCinGCtfmkbSTCH7C8BF6HZA","Omg Brie Larson, what are you doing","Brie Larson wanted to use her platform in the lead up to Captain Marvel to give voices to underrepresented journalists. She handpicked journalist Keah Brown, ...","alteori",18232,1097,42,0,624
"32lqNyY8P7k",2019-02-28,"UCmKtlNiv6ht63DpTJN4B88g","The Case Against Female Super Heroes: The Captain Marvel Experiment","There is something that needs to be said...we do not need female super heroes...if you've made it past that sentence we also don't need male super heroes...let ...","Odin's Movie Blog",6668,858,17,0,251
"35jczXYjnWY",2019-02-19,"UCxXUQuvoiIAlpM2osoAitjQ","Brie Larson is forcing Marvel to become GHOSTBUSTERS 2016","Marvel Studio's CAPTAIN MARVEL is set to hit theaters in the next few weeks, and Brie Larson is doing everything she can to make sure that the film becomes ...","mundanematt",7456,485,144,0,277
"3XWkO0VRtYI",2019-02-24,"UC4gD0czpXVv_LpADTSU624g","ALITA vs. CAPTAIN MARVEL: Mainstream Media Choosing Best Girl?","Is mainstream media pitting Alita: Battle Angel against Captain Marvel in a showdown of female-led sci-fi films? If so, who do they seem to favor? Hint: It's not ...","Clownfish TV",40920,2306,42,0,1590
"3ZU3GNiGVk0",2019-03-01,"UCjYIwOnxkACYwhNGBWnEOzw","MundaneMatt DEFENDS Rotten Tomatoes Shilling For Captain Marvel | FULL SJW Beta-Male Shilling","Support The Channel: ✅▻https://www.Patreon.com/DeclanBlack Support Me Via Paypal: ✅▻https://www.Paypal.me/DeclanBlackYT Follow Me On Twitch: ...","Declan Black",3132,339,7,0,125
"4B-wZj7u5TE",2019-02-16,"UCmKtlNiv6ht63DpTJN4B88g","Alita: Battle Angel is the HERo We Deserve...Screw Captain Marvel","Just got back from seeing Alita: Battle Angel and all I can say is WOW. Go see this movie to shove in the so called ""movie critics"" faces and show Hollywood that ...","Odin's Movie Blog",12528,1432,23,0,585
"4Hv8oX9WOdI",2019-02-14,"UCMvVQIAfsGwzrfPLxiaIG8g","Captain Marvel - The Media Worship of Brie Larson Reaches Cringe Levels","MERCH - https://www.geeksandgamers.com/store/ WEBSITE - https://www.geeksandgamers.com TWITCH - twitch.tv/gamingwithgeeks SUBSCRIBE to our ...","Gamers + Geeks",35962,3264,82,0,1671
"5i78bdf9a1g",2019-02-18,"UCUZAUoL2_bd9cR8R5T_iSlQ","BRIE LARSON &amp; CAPTAIN MARVEL are LAME! MARVEL STUDIOS SHOULD HAVE PICKED THIS STRONG FEMALE ....","Marvel Studios picked the wrong ""Strong Female Character"" to go with and it's going to cost them. I still think Captain Marvel will make decent money at the box ...","John Talks",2809,402,22,0,187
"5ntUzfYDuRE",2019-02-15,"UCW40A7sTHElSYanciIGvBkA","Captain Marvel&#39;s Brie Larson Hates White Men?!!!","My Name is Robert Storms an I am a big fan of comics and comic book movies/shows. Here on this channel it's my goal to keep you update on everything in the ...","Robert Storms",31329,926,331,0,1761
"6AxgPKnU6mM",2019-02-27,"UCUZAUoL2_bd9cR8R5T_iSlQ","CAPTAIN MARVEL BOYCOTT?","Brie Larson's comments. Rotten Tomatoes removing scores. Should we boycott Captain Marvel over these things? Here's my thoughts.","John Talks",50393,3640,162,0,2435
"7cqfnKb5jOA",2019-02-18,"UCMvVQIAfsGwzrfPLxiaIG8g","Feminist Marketing - Captain Marvel Hits Desperate Level Of Cringe","MERCH - https://www.geeksandgamers.com/store/ WEBSITE - https://www.geeksandgamers.com TWITCH - twitch.tv/gamingwithgeeks SUBSCRIBE to our ...","Gamers + Geeks",46100,3811,136,0,1736
"7D1q14ytid4",2019-02-28,"UC4gD0czpXVv_LpADTSU624g","NO CHOICE! YOU MUST LOVE CAPTAIN MARVEL! Rotten Tomatoes SHENANIGANS?!","On March 8, you may ONLY buy tickets for Captain Marvel Support Clownfish TV here! https://d-rezzed.clownfishtv.com/support/ New CFTV Community!","Clownfish TV",8261,832,7,0,536
"7Ni22dNAF7Y",2019-02-28,"UCMvVQIAfsGwzrfPLxiaIG8g","Captain Marvel - Brie Larson Thinks Smiling Is Sexist! Respect Wamen!","MERCH - https://www.geeksandgamers.com/store/ WEBSITE - https://www.geeksandgamers.com TWITCH - twitch.tv/gamingwithgeeks SUBSCRIBE to our ...","Gamers + Geeks",53953,5536,80,0,2696
"8dQBLx7xFiQ",2019-02-27,"UCRWsFMLzGGJKLnAXJ9U93_A","THE ROTTEN TOMATOES SCANDAL CONTINUES!","Rotten Tomatoes changed their entire cite to cover up the Captain Marvel ""want to see score"" which tanked at 27% interest. Nerdrotic Videos: ...","Star Wars Girl",47088,4955,80,0,1524
"8JPZYL1vGUA",2019-02-21,"UCfwE_ODI1YTbdjkzuSi1Nag","Marvel Denying REFUNDS For Captain Marvel &amp; More Hilarity","Captain Marvel releases on International Womens day but we get to laugh every single day leading up to it. #CaptainMarvel #BrieLarson.","TheQuartering",430743,20273,901,0,7019
"94Joi5u0KpI",2019-02-28,"UC4gD0czpXVv_LpADTSU624g","Captain Marvel Has $150 MILLION Predicted Opening?! (So Did Solo!)","Forbes is now claiming that Captain Marvel could have a $150 million opening weekend. This after record-breaking Fandango ticket pre-sales. Does all of this ...","Clownfish TV",17119,1277,21,0,598
"9rO2yLSCciI",2019-02-26,"UCjYIwOnxkACYwhNGBWnEOzw","Rotten Tomatoes REMOVES Captain Marvel Audience Ratings | White Knighting For Brie Larson","Rotten Tomatoes has taken action to silence fair criticism of Brie Larson & Captain Marvel. Support The Channel: ✅▻https://www.Patreon.com/DeclanBlack ...","Declan Black",2910,407,3,0,143
"9Tm8P4F_y48",2019-02-24,"UCMvVQIAfsGwzrfPLxiaIG8g","Captain Marvel Interest TANKS To 44% On Rotten Tomatoes!","MERCH - https://www.geeksandgamers.com/store/ WEBSITE - https://www.geeksandgamers.com TWITCH - twitch.tv/gamingwithgeeks SUBSCRIBE to our ...","Gamers + Geeks",134192,11994,330,0,5057
